capability_id	surface	entrypoint_id	owner_symbol	shared_owner	app_owner	app_equivalence	track_b_sensitive	side_effects	loss_if_removed
alpha_picks_commands	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_alpha_picks_command	src/tools/sa_tools.py:get_sa_alpha_picks	src/api/routes/seeking_alpha.py:alpha_picks	full	false	local_state_read	Terminal command presentation is lost; App API and model tools remain.
attachment_input	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_attach_command	src/agents/shared/attachments.py:AttachmentManager	unowned:no-current-research-attachment-request-field	none	false	filesystem_write,local_state_read	Research HTTP has no attachment field, so this input path is lost.
code_backend_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_code_backend_command	src/tools/code_generator.py:generate_and_execute	src/tools/registry.py:create_default_registry	partial	false	child_process,credential_read,external_network	Per-session backend override is lost; model-callable code generation remains.
code_model_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_code_model_command	src/agents/cli.py:SessionState.code_model	unowned:no-consumer-connects-session-code-model-to-code-generator	none	false	none	The command only changes the CLI status line; code generation never reads SessionState.code_model.
command_help_and_completion	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:SlashCompleter	src/agents/cli.py:print_help	unowned:no-current-app-slash-command-surface	none	false	none	Terminal slash-command help and completion disappear with the wrapper.
compaction_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_compaction_command	src/agents/shared/compressor/context_compressor.py:ContextCompressor	src/agents/anthropic_agent/agent.py:run_query_stream	partial	false	none	The run-local server-compaction toggle is lost; the App runner retains configured compaction.
context_window_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_context_command	src/agents/shared/subagent.py:_use_extended_context_beta	src/agents/anthropic_agent/agent.py:run_query_stream	partial	false	none	CLI 1M-context toggle is lost; app runner retains configured context behavior.
conversation_history	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:handle_history_command	src/agents/shared/scratchpad.py:ChatHistory	src/api/routes/research.py:list_research_messages	full	false	local_state_read,local_state_write	Terminal formatting is lost; persisted App threads and messages remain.
debug_logging_control	legacy_cli	src/agents/cli.py::python_script::main	src/agents/cli.py:main	src/agents/cli.py:main	unowned:no-current-app-process-debug-toggle	none	false	none	The CLI-only --verbose logging and long-log truncation controls disappear with the wrapper.
discord_admin_authorization	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:_is_admin	src/monitor/discord_bot.py:_is_admin	unowned:no-current-app-multi-user-admin-permission-boundary	none	false	none	The manage-guild guard for Discord model controls disappears; any future multi-user transport needs a new authorization policy.
discord_alert_actions	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:AlertActionView	src/monitor/discord_bot.py:_run_agent_query	unowned:no-current-app-alert-action-owner	none	false	external_network,provider_request	Discord Analyze/News buttons disappear with no exact replacement.
discord_alert_delivery	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot.send_alert	src/monitor/notifiers.py:DiscordNotifier	unowned:no-live-discord-launcher-or-alert-product	none	false	external_network,long_running_process	Discord delivery disappears; no live launcher or replacement alert channel exists.
discord_effort_control	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._setup_commands	src/agents/shared/model_catalog.py:MODEL_CATALOG	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	Discord admin effort command is lost; App effort selection remains.
discord_follow_up	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot.on_message	src/monitor/discord_bot.py:_send_long_message	src/api/routes/research.py:list_research_messages	full	false	external_network,local_state_read	Discord reply transport is lost; App thread continuity remains.
discord_model_control	discord	src/monitor/discord_bot.py::python_script::MindfulDiscordBot	src/monitor/discord_bot.py:MindfulDiscordBot._setup_commands	src/agents/shared/model_catalog.py:MODEL_CATALOG	apps/arkscope-web/src/Research.tsx:ResearchView	full	false	none	Discord admin command is lost; App model selection remains.
