task	node_id	reason	red_expectation
T1	tests/test_security_lifecycle_schema.py::test_profile_schema_matches_the_exact_case_evidence_and_proposal_contract	V2 lifecycle table/column authority	must_fail
T1	tests/test_security_lifecycle_schema.py::test_profile_foreign_keys_and_closed_vocabularies_reject_invalid_rows	V2 closed vocabularies and coherence	must_fail
T1	tests/test_ticker_identity_schema.py::test_identity_schema_is_additive_exact_and_foreign_key_clean	transition provenance/activity shape	must_fail
T1	tests/test_ticker_identity_schema.py::test_identity_schema_enforces_closed_shapes_and_coherent_terminal_states	approval authority coherence	must_fail
T1	tests/test_security_lifecycle_investigation.py::test_accepting_assessment_requires_conclusion_citation_and_human_author	explicit human acceptance authority compatibility	must_fail
T1	tests/test_security_lifecycle_investigation.py::test_draft_accept_and_supersede_preserve_version_history	new assessment provenance columns	must_fail
T1	tests/test_security_lifecycle_manual_evidence.py::test_manual_adapter_adds_bounded_text_and_https_urls_with_zero_network	manual evidence gains explicit manual source family	must_fail
T1	tests/test_ticker_identity_transition.py::test_transition_approval_is_digest_bound_idempotent_and_due_on_its_date	explicit attended approval provenance	must_fail
T1	tests/test_profile_state.py::test_ticker_state_lineage_is_exact_empty_when_absent_and_fails_on_drift	activity table is not lineage and exact verifier remains strict	must_pass
T2	tests/test_security_lifecycle_migration.py::test_migration_preflight_maps_37_rows_to_36_observations_37_kinds_and_4_reviews	prior V1 migration binds explicit V1 authority	must_pass
T2	tests/test_security_lifecycle_migration.py::test_migration_maps_ambiguous_transfer_review_without_inventing_precision	legacy outcome mapping remains unchanged	must_pass
T2	tests/test_ticker_identity_migration.py::test_migration_is_additive_exact_and_idempotent	prior additive migration binds explicit V1 identity authority	must_pass
T2	tests/test_tavily_retirement.py::test_preflight_accepts_empty_legacy_storage_without_writes	retirement preflight reads explicit V1 authority	must_pass
T3	tests/test_sec_user_agent.py::test_sec_clients_use_canonical_user_agent	strict shared transport identity plumbing	must_fail
T3	tests/test_sec_corporate_actions.py::test_sec_cik_lookup_loads_the_official_ticker_map_once	shared transport preserves one-load cache	must_pass
T3	tests/test_sec_corporate_actions.py::test_run_incremental_persists_partial_results_without_touching_profile_state	collector compatibility through shared transport	must_pass
T3	tests/test_symbol_catalog.py::test_cache_reoverlays_sec_names_when_stale	catalog cache behavior survives transport replacement	must_pass
T3	tests/test_data_provider_config.py::test_key_provider_test_paths	non-SEC generic probe behavior remains unchanged	must_pass
